onetsoc_code,Title,KMeans_Cluster,AI_Impact_Type,Median_Annual_Wage_USD,Skill,Skill_Value
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",1,Risk: Robotics (Medium-Term),37100.0,Complex Problem Solving,3.12
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",1,Risk: Robotics (Medium-Term),52480.0,Complex Problem Solving,2.88
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",0,Risk: Robotics (Medium-Term),53640.0,Complex Problem Solving,3.25
49-2091.00,Avionics Technicians,0,Risk: Robotics (Medium-Term),60760.0,Complex Problem Solving,3.5
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",1,Risk: Robotics (Medium-Term),41570.0,Complex Problem Solving,3.0
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",1,Risk: Robotics (Medium-Term),59280.0,Complex Problem Solving,3.0
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0,Risk: Robotics (Medium-Term),56250.0,Complex Problem Solving,3.88
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0,Risk: Robotics (Medium-Term),75670.0,Complex Problem Solving,3.0
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",1,Risk: Robotics (Medium-Term),32220.0,Complex Problem Solving,3.0
49-2097.00,Audiovisual Equipment Installers and Repairers,1,Risk: Robotics (Medium-Term),37410.0,Complex Problem Solving,3.12
49-2098.00,Security and Fire Alarm Systems Installers,1,Risk: Robotics (Medium-Term),44330.0,Complex Problem Solving,3.0
49-3011.00,Aircraft Mechanics and Service Technicians,0,Risk: Robotics (Medium-Term),60170.0,Complex Problem Solving,3.88
49-3021.00,Automotive Body and Related Repairers,1,Risk: Robotics (Medium-Term),41540.0,Complex Problem Solving,3.0
49-3022.00,Automotive Glass Installers and Repairers,1,Risk: Robotics (Medium-Term),34340.0,Complex Problem Solving,2.5
49-3023.00,Automotive Service Technicians and Mechanics,1,Risk: Robotics (Medium-Term),38470.0,Complex Problem Solving,3.0
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,1,Risk: Robotics (Medium-Term),45170.0,Complex Problem Solving,3.0
49-3041.00,Farm Equipment Mechanics and Service Technicians,1,Risk: Robotics (Medium-Term),37820.0,Complex Problem Solving,3.0
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",1,Risk: Robotics (Medium-Term),49370.0,Complex Problem Solving,3.25
49-3043.00,Rail Car Repairers,1,Risk: Robotics (Medium-Term),55000.0,Complex Problem Solving,2.62
49-3051.00,Motorboat Mechanics and Service Technicians,1,Risk: Robotics (Medium-Term),38780.0,Complex Problem Solving,2.88
49-3052.00,Motorcycle Mechanics,1,Risk: Robotics (Medium-Term),34720.0,Complex Problem Solving,3.0
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,1,Risk: Robotics (Medium-Term),33730.0,Complex Problem Solving,2.75
49-3091.00,Bicycle Repairers,1,Risk: Robotics (Medium-Term),27630.0,Complex Problem Solving,3.0
49-3092.00,Recreational Vehicle Service Technicians,1,Risk: Robotics (Medium-Term),36430.0,Complex Problem Solving,2.88
49-3093.00,Tire Repairers and Changers,1,Risk: Robotics (Medium-Term),25040.0,Complex Problem Solving,2.25
49-9011.00,Mechanical Door Repairers,1,Risk: Robotics (Medium-Term),38480.0,Complex Problem Solving,2.88
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",1,Risk: Robotics (Medium-Term),54520.0,Complex Problem Solving,3.0
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0,Risk: Robotics (Medium-Term),45910.0,Complex Problem Solving,3.25
49-9031.00,Home Appliance Repairers,1,Risk: Robotics (Medium-Term),37570.0,Complex Problem Solving,3.0
49-9041.00,Industrial Machinery Mechanics,1,Risk: Robotics (Medium-Term),50040.0,Complex Problem Solving,3.0
49-9043.00,"Maintenance Workers, Machinery",1,Risk: Robotics (Medium-Term),44550.0,Complex Problem Solving,2.88
49-9044.00,Millwrights,1,Risk: Robotics (Medium-Term),52440.0,Complex Problem Solving,3.0
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",1,Risk: Robotics (Medium-Term),45230.0,Complex Problem Solving,2.12
49-9051.00,Electrical Power-Line Installers and Repairers,1,Risk: Robotics (Medium-Term),68010.0,Complex Problem Solving,3.0
49-9052.00,Telecommunications Line Installers and Repairers,1,Risk: Robotics (Medium-Term),52590.0,Complex Problem Solving,3.0
49-9061.00,Camera and Photographic Equipment Repairers,1,Risk: Robotics (Medium-Term),41060.0,Complex Problem Solving,3.12
49-9062.00,Medical Equipment Repairers,0,Risk: Robotics (Medium-Term),48070.0,Complex Problem Solving,3.0
49-9063.00,Musical Instrument Repairers and Tuners,1,Risk: Robotics (Medium-Term),35010.0,Complex Problem Solving,2.88
49-9064.00,Watch and Clock Repairers,1,Risk: Robotics (Medium-Term),36740.0,Complex Problem Solving,2.88
49-9071.00,"Maintenance and Repair Workers, General",1,Risk: Robotics (Medium-Term),36940.0,Complex Problem Solving,3.0
49-9081.00,Wind Turbine Service Technicians,1,Risk: Robotics (Medium-Term),52260.0,Complex Problem Solving,3.0
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",1,Risk: Robotics (Medium-Term),33070.0,Complex Problem Solving,2.75
49-9092.00,Commercial Divers,1,Risk: Robotics (Medium-Term),49090.0,Complex Problem Solving,3.12
49-9094.00,Locksmiths and Safe Repairers,1,Risk: Robotics (Medium-Term),40420.0,Complex Problem Solving,2.88
49-9095.00,Manufactured Building and Mobile Home Installers,0,Risk: Robotics (Medium-Term),29810.0,Complex Problem Solving,3.25
49-9096.00,Riggers,1,Risk: Robotics (Medium-Term),45690.0,Complex Problem Solving,3.0
49-9097.00,Signal and Track Switch Repairers,1,Risk: Robotics (Medium-Term),65350.0,Complex Problem Solving,3.0
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",1,Risk: Robotics (Medium-Term),27510.0,Complex Problem Solving,2.12
51-1011.00,First-Line Supervisors of Production and Operating Workers,0,Insulated: High-Social,57780.0,Complex Problem Solving,3.62
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1,Risk: Robotics (Medium-Term),50050.0,Complex Problem Solving,2.88
51-2021.00,"Coil Winders, Tapers, and Finishers",1,Risk: Robotics (Medium-Term),33940.0,Complex Problem Solving,1.88
51-2022.00,Electrical and Electronic Equipment Assemblers,1,Risk: Robotics (Medium-Term),31310.0,Complex Problem Solving,2.5
51-2023.00,Electromechanical Equipment Assemblers,1,Risk: Robotics (Medium-Term),33350.0,Complex Problem Solving,2.12
51-2031.00,Engine and Other Machine Assemblers,1,Risk: Robotics (Medium-Term),41210.0,Complex Problem Solving,2.25
51-2041.00,Structural Metal Fabricators and Fitters,1,Risk: Robotics (Medium-Term),37730.0,Complex Problem Solving,2.12
51-2092.00,Team Assemblers,1,Risk: Robotics (Medium-Term),30060.0,Complex Problem Solving,2.62
51-3011.00,Bakers,1,Risk: Robotics (Medium-Term),25090.0,Complex Problem Solving,2.0
51-3021.00,Butchers and Meat Cutters,1,Risk: Robotics (Medium-Term),29870.0,Complex Problem Solving,2.5
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,Risk: Robotics (Medium-Term),24490.0,Complex Problem Solving,2.12
51-3023.00,Slaughterers and Meat Packers,1,Risk: Robotics (Medium-Term),26590.0,Complex Problem Solving,1.75
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1,Risk: Robotics (Medium-Term),28570.0,Complex Problem Solving,2.75
51-3092.00,Food Batchmakers,1,Risk: Robotics (Medium-Term),27810.0,Complex Problem Solving,2.62
51-3093.00,Food Cooking Machine Operators and Tenders,1,Risk: Robotics (Medium-Term),28350.0,Complex Problem Solving,2.38
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),33870.0,Complex Problem Solving,2.62
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),36930.0,Complex Problem Solving,2.75
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),40680.0,Complex Problem Solving,2.75
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),32370.0,Complex Problem Solving,2.62
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),36410.0,Complex Problem Solving,2.62
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),32890.0,Complex Problem Solving,2.75
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),38480.0,Complex Problem Solving,2.75
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),39840.0,Complex Problem Solving,2.38
51-4041.00,Machinists,1,Risk: Robotics (Medium-Term),41700.0,Complex Problem Solving,3.0
51-4051.00,Metal-Refining Furnace Operators and Tenders,1,Risk: Robotics (Medium-Term),41040.0,Complex Problem Solving,2.88
51-4052.00,"Pourers and Casters, Metal",1,Risk: Robotics (Medium-Term),36180.0,Complex Problem Solving,2.12
51-4061.00,"Model Makers, Metal and Plastic",1,Risk: Robotics (Medium-Term),48550.0,Complex Problem Solving,2.75
51-4062.00,"Patternmakers, Metal and Plastic",1,Risk: Robotics (Medium-Term),44210.0,Complex Problem Solving,2.75
51-4071.00,Foundry Mold and Coremakers,1,Risk: Robotics (Medium-Term),34790.0,Complex Problem Solving,2.12
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),30480.0,Complex Problem Solving,2.25
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),34340.0,Complex Problem Solving,3.0
51-4111.00,Tool and Die Makers,1,Risk: Robotics (Medium-Term),51060.0,Complex Problem Solving,3.0
51-4121.00,"Welders, Cutters, Solderers, and Brazers",1,Risk: Robotics (Medium-Term),39390.0,Complex Problem Solving,2.5
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),36980.0,Complex Problem Solving,2.88
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),37180.0,Complex Problem Solving,2.62
51-4192.00,"Layout Workers, Metal and Plastic",1,Risk: Robotics (Medium-Term),45820.0,Complex Problem Solving,2.88
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",1,Risk: Robotics (Medium-Term),31280.0,Complex Problem Solving,2.25
51-4194.00,"Tool Grinders, Filers, and Sharpeners",1,Risk: Robotics (Medium-Term),36650.0,Complex Problem Solving,2.75
51-5111.00,Prepress Technicians and Workers,2,Risk: Robotics (Medium-Term),38930.0,Complex Problem Solving,2.88
51-5112.00,Printing Press Operators,1,Risk: Robotics (Medium-Term),35530.0,Complex Problem Solving,2.88
51-5113.00,Print Binding and Finishing Workers,1,Risk: Robotics (Medium-Term),31410.0,Complex Problem Solving,2.88
51-6011.00,Laundry and Dry-Cleaning Workers,1,Risk: Robotics (Medium-Term),21510.0,Complex Problem Solving,2.25
51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,Risk: Robotics (Medium-Term),21300.0,Complex Problem Solving,1.75
51-6031.00,Sewing Machine Operators,1,Risk: Robotics (Medium-Term),23670.0,Complex Problem Solving,2.12
51-6041.00,Shoe and Leather Workers and Repairers,1,Risk: Robotics (Medium-Term),23940.0,Complex Problem Solving,2.12
51-6042.00,Shoe Machine Operators and Tenders,1,Risk: Robotics (Medium-Term),26150.0,Complex Problem Solving,2.5
51-6051.00,"Sewers, Hand",1,Risk: Robotics (Medium-Term),24520.0,Complex Problem Solving,2.12
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",1,Risk: Robotics (Medium-Term),28240.0,Complex Problem Solving,2.62
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,1,Risk: Robotics (Medium-Term),27270.0,Complex Problem Solving,2.12
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),26090.0,Complex Problem Solving,2.62
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),27470.0,Complex Problem Solving,2.12
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),27500.0,Complex Problem Solving,2.0
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",1,Risk: Robotics (Medium-Term),34240.0,Complex Problem Solving,2.75
51-6092.00,Fabric and Apparel Patternmakers,0,Risk: Robotics (Medium-Term),39650.0,Complex Problem Solving,3.0
51-6093.00,Upholsterers,1,Risk: Robotics (Medium-Term),33050.0,Complex Problem Solving,3.0
51-7011.00,Cabinetmakers and Bench Carpenters,1,Risk: Robotics (Medium-Term),33050.0,Complex Problem Solving,2.75
51-7021.00,Furniture Finishers,1,Risk: Robotics (Medium-Term),30550.0,Complex Problem Solving,2.75
51-7031.00,"Model Makers, Wood",1,Risk: Robotics (Medium-Term),40890.0,Complex Problem Solving,2.88
51-7032.00,"Patternmakers, Wood",1,Risk: Robotics (Medium-Term),46510.0,Complex Problem Solving,3.0
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",1,Risk: Robotics (Medium-Term),28380.0,Complex Problem Solving,2.25
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",1,Risk: Robotics (Medium-Term),28510.0,Complex Problem Solving,2.5
51-8011.00,Nuclear Power Reactor Operators,2,Risk: Generative AI (Near-Term),91170.0,Complex Problem Solving,3.25
51-8012.00,Power Distributors and Dispatchers,2,Risk: Generative AI (Near-Term),81900.0,Complex Problem Solving,3.25
51-8013.00,Power Plant Operators,1,Risk: Robotics (Medium-Term),74690.0,Complex Problem Solving,3.0
51-8021.00,Stationary Engineers and Boiler Operators,1,Risk: Robotics (Medium-Term),59400.0,Complex Problem Solving,3.12
51-8031.00,Water and Wastewater Treatment Plant and System Operators,1,Risk: Robotics (Medium-Term),45760.0,Complex Problem Solving,3.0
51-8091.00,Chemical Plant and System Operators,1,Risk: Robotics (Medium-Term),59920.0,Complex Problem Solving,3.12
51-8092.00,Gas Plant Operators,1,Risk: Robotics (Medium-Term),67580.0,Complex Problem Solving,3.0
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1,Risk: Robotics (Medium-Term),67400.0,Complex Problem Solving,3.0
51-9011.00,Chemical Equipment Operators and Tenders,1,Risk: Robotics (Medium-Term),47780.0,Complex Problem Solving,2.88
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),38360.0,Complex Problem Solving,2.88
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),34390.0,Complex Problem Solving,2.75
51-9022.00,"Grinding and Polishing Workers, Hand",1,Risk: Robotics (Medium-Term),28720.0,Complex Problem Solving,2.5
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),35680.0,Complex Problem Solving,2.38
51-9031.00,"Cutters and Trimmers, Hand",1,Risk: Robotics (Medium-Term),27600.0,Complex Problem Solving,2.12
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),32870.0,Complex Problem Solving,2.75
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),32510.0,Complex Problem Solving,2.75
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",1,Risk: Robotics (Medium-Term),36040.0,Complex Problem Solving,2.62
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",1,Risk: Robotics (Medium-Term),36780.0,Complex Problem Solving,2.75
51-9071.00,Jewelers and Precious Stone and Metal Workers,1,Risk: Robotics (Medium-Term),38200.0,Complex Problem Solving,3.0
51-9081.00,Dental Laboratory Technicians,1,Risk: Robotics (Medium-Term),37680.0,Complex Problem Solving,2.88
51-9082.00,Medical Appliance Technicians,0,Risk: Robotics (Medium-Term),35980.0,Complex Problem Solving,3.0
51-9083.00,Ophthalmic Laboratory Technicians,1,Risk: Robotics (Medium-Term),30640.0,Complex Problem Solving,2.5
51-9111.00,Packaging and Filling Machine Operators and Tenders,1,Risk: Robotics (Medium-Term),28290.0,Complex Problem Solving,2.12
51-9123.00,"Painting, Coating, and Decorating Workers",1,Risk: Robotics (Medium-Term),30030.0,Complex Problem Solving,2.0
51-9141.00,Semiconductor Processing Technicians,1,Risk: Robotics (Medium-Term),35660.0,Complex Problem Solving,2.75
51-9151.00,Photographic Process Workers and Processing Machine Operators,0,Risk: Robotics (Medium-Term),26470.0,Complex Problem Solving,2.75
51-9191.00,Adhesive Bonding Machine Operators and Tenders,1,Risk: Robotics (Medium-Term),32290.0,Complex Problem Solving,2.5
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1,Risk: Robotics (Medium-Term),28550.0,Complex Problem Solving,2.12
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,1,Risk: Robotics (Medium-Term),29190.0,Complex Problem Solving,3.0
51-9194.00,Etchers and Engravers,1,Risk: Robotics (Medium-Term),31110.0,Complex Problem Solving,2.25
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",1,Risk: Robotics (Medium-Term),30610.0,Complex Problem Solving,2.12
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",1,Risk: Robotics (Medium-Term),36990.0,Complex Problem Solving,2.38
51-9197.00,Tire Builders,1,Risk: Robotics (Medium-Term),41680.0,Complex Problem Solving,2.0
51-9198.00,Helpers--Production Workers,1,Risk: Robotics (Medium-Term),24830.0,Complex Problem Solving,2.0
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0,Risk: Generative AI (Near-Term),127820.0,Complex Problem Solving,3.62
53-2012.00,Commercial Pilots,0,Risk: Generative AI (Near-Term),77200.0,Complex Problem Solving,3.62
53-2021.00,Air Traffic Controllers,3,Risk: Generative AI (Near-Term),122410.0,Complex Problem Solving,4.5
53-2022.00,Airfield Operations Specialists,0,Risk: Generative AI (Near-Term),48910.0,Complex Problem Solving,3.25
53-2031.00,Flight Attendants,0,Risk: Robotics (Medium-Term),48500.0,Complex Problem Solving,2.62
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1,Risk: Robotics (Medium-Term),23850.0,Complex Problem Solving,2.75
53-3031.00,Driver/Sales Workers,1,Risk: Robotics (Medium-Term),22830.0,Complex Problem Solving,2.88
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,1,Risk: Robotics (Medium-Term),41340.0,Complex Problem Solving,2.5
53-3033.00,Light Truck Drivers,1,Risk: Robotics (Medium-Term),30580.0,Complex Problem Solving,2.25
53-4011.00,Locomotive Engineers,1,Risk: Robotics (Medium-Term),57670.0,Complex Problem Solving,3.0
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",1,Risk: Robotics (Medium-Term),50470.0,Complex Problem Solving,3.12
53-4031.00,Railroad Conductors and Yardmasters,0,Risk: Robotics (Medium-Term),57480.0,Complex Problem Solving,3.38
53-4041.00,Subway and Streetcar Operators,1,Risk: Robotics (Medium-Term),64680.0,Complex Problem Solving,2.88
53-5011.00,Sailors and Marine Oilers,1,Risk: Robotics (Medium-Term),42060.0,Complex Problem Solving,2.88
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",0,Risk: Robotics (Medium-Term),72680.0,Complex Problem Solving,3.12
53-5022.00,Motorboat Operators,1,Risk: Robotics (Medium-Term),40210.0,Complex Problem Solving,3.0
53-5031.00,Ship Engineers,1,Risk: Robotics (Medium-Term),70570.0,Complex Problem Solving,3.38
53-6011.00,Bridge and Lock Tenders,1,Risk: Robotics (Medium-Term),49090.0,Complex Problem Solving,2.75
53-6021.00,Parking Attendants,1,Risk: Robotics (Medium-Term),21730.0,Complex Problem Solving,2.12
53-6031.00,Automotive and Watercraft Service Attendants,1,Risk: Robotics (Medium-Term),22420.0,Complex Problem Solving,2.25
53-6041.00,Traffic Technicians,0,Risk: Generative AI (Near-Term),45150.0,Complex Problem Solving,3.62
53-6051.00,Transportation Inspectors,2,Risk: Generative AI (Near-Term),72220.0,Complex Problem Solving,3.25
53-6061.00,Passenger Attendants,2,Risk: Robotics (Medium-Term),26060.0,Complex Problem Solving,2.38
53-7011.00,Conveyor Operators and Tenders,1,Risk: Robotics (Medium-Term),31410.0,Complex Problem Solving,2.75
53-7021.00,Crane and Tower Operators,1,Risk: Robotics (Medium-Term),52170.0,Complex Problem Solving,2.25
53-7031.00,Dredge Operators,1,Risk: Robotics (Medium-Term),42420.0,Complex Problem Solving,2.5
53-7041.00,Hoist and Winch Operators,1,Risk: Robotics (Medium-Term),42530.0,Complex Problem Solving,2.38
53-7051.00,Industrial Truck and Tractor Operators,1,Risk: Robotics (Medium-Term),32460.0,Complex Problem Solving,2.0
53-7061.00,Cleaners of Vehicles and Equipment,1,Risk: Robotics (Medium-Term),22220.0,Complex Problem Solving,1.62
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",1,Risk: Robotics (Medium-Term),25980.0,Complex Problem Solving,2.0
53-7063.00,Machine Feeders and Offbearers,1,Risk: Robotics (Medium-Term),28410.0,Complex Problem Solving,2.12
53-7064.00,"Packers and Packagers, Hand",1,Risk: Robotics (Medium-Term),22130.0,Complex Problem Solving,1.75
53-7071.00,Gas Compressor and Gas Pumping Station Operators,1,Risk: Robotics (Medium-Term),60470.0,Complex Problem Solving,3.0
53-7072.00,"Pump Operators, Except Wellhead Pumpers",1,Risk: Robotics (Medium-Term),42470.0,Complex Problem Solving,2.88
53-7073.00,Wellhead Pumpers,1,Risk: Robotics (Medium-Term),49610.0,Complex Problem Solving,2.88
53-7081.00,Refuse and Recyclable Material Collectors,1,Risk: Robotics (Medium-Term),35270.0,Complex Problem Solving,2.12
53-7121.00,"Tank Car, Truck, and Ship Loaders",1,Risk: Robotics (Medium-Term),35770.0,Complex Problem Solving,2.88
11-1011.00,Chief Executives,3,Insulated: High-Social,181210.0,Judgment and Decision Making,5.38
11-1021.00,General and Operations Managers,3,Insulated: High-Social,99310.0,Judgment and Decision Making,3.88
11-2011.00,Advertising and Promotions Managers,3,Insulated: High-Social,100810.0,Judgment and Decision Making,4.0
11-2021.00,Marketing Managers,3,Insulated: High-Social,131180.0,Judgment and Decision Making,4.0
11-2022.00,Sales Managers,3,Insulated: High-Social,117960.0,Judgment and Decision Making,4.0
11-3021.00,Computer and Information Systems Managers,3,Insulated: High-Social,135800.0,Judgment and Decision Making,3.75
11-3031.00,Financial Managers,3,Insulated: High-Social,121750.0,Judgment and Decision Making,3.88
11-3051.00,Industrial Production Managers,0,Insulated: High-Social,97140.0,Judgment and Decision Making,4.38
11-3061.00,Purchasing Managers,3,Insulated: High-Social,111590.0,Judgment and Decision Making,3.75
11-3071.00,"Transportation, Storage, and Distribution Managers",3,Insulated: High-Social,89190.0,Judgment and Decision Making,3.5
11-3111.00,Compensation and Benefits Managers,3,Insulated: High-Social,116240.0,Judgment and Decision Making,4.0
11-3121.00,Human Resources Managers,3,Insulated: High-Social,106910.0,Judgment and Decision Making,4.0
11-3131.00,Training and Development Managers,3,Insulated: High-Social,105830.0,Judgment and Decision Making,3.88
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0,Insulated: High-Social,66360.0,Judgment and Decision Making,3.75
11-9021.00,Construction Managers,3,Insulated: High-Social,89300.0,Judgment and Decision Making,4.25
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3,Insulated: High-Social,45790.0,Judgment and Decision Making,3.88
11-9032.00,"Education Administrators, Kindergarten through Secondary",3,Insulated: High-Social,92510.0,Judgment and Decision Making,4.38
11-9033.00,"Education Administrators, Postsecondary",3,Insulated: High-Social,90760.0,Judgment and Decision Making,4.0
11-9041.00,Architectural and Engineering Managers,3,Insulated: High-Social,134730.0,Judgment and Decision Making,4.25
11-9051.00,Food Service Managers,0,Insulated: High-Social,50820.0,Judgment and Decision Making,2.88
11-9071.00,Gambling Managers,3,Insulated: High-Social,69180.0,Judgment and Decision Making,3.62
11-9081.00,Lodging Managers,0,Insulated: High-Social,51840.0,Judgment and Decision Making,3.75
11-9111.00,Medical and Health Services Managers,3,Insulated: High-Social,96540.0,Judgment and Decision Making,4.0
11-9121.00,Natural Sciences Managers,3,Insulated: High-Social,119850.0,Judgment and Decision Making,4.12
11-9131.00,Postmasters and Mail Superintendents,3,Insulated: High-Social,71670.0,Judgment and Decision Making,3.12
11-9141.00,"Property, Real Estate, and Community Association Managers",3,Insulated: High-Social,57040.0,Judgment and Decision Making,3.38
11-9151.00,Social and Community Service Managers,3,Insulated: High-Social,64680.0,Judgment and Decision Making,4.12
11-9161.00,Emergency Management Directors,3,Insulated: High-Social,70500.0,Judgment and Decision Making,4.25
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3,Insulated: High-Social,62080.0,Judgment and Decision Making,3.75
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3,Risk: Generative AI (Near-Term),58430.0,Judgment and Decision Making,3.38
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,Insulated: High-Social,53340.0,Judgment and Decision Making,3.75
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3,Insulated: High-Social,63300.0,Judgment and Decision Making,3.88
13-1031.00,"Claims Adjusters, Examiners, and Investigators",3,Risk: Generative AI (Near-Term),63680.0,Judgment and Decision Making,3.75
13-1032.00,"Insurance Appraisers, Auto Damage",2,Risk: Generative AI (Near-Term),63510.0,Judgment and Decision Making,3.12
13-1041.00,Compliance Officers,2,Risk: Generative AI (Near-Term),66540.0,Judgment and Decision Making,3.25
13-1051.00,Cost Estimators,3,Insulated: High-Creativity,61790.0,Judgment and Decision Making,3.75
13-1071.00,Human Resources Specialists,3,Insulated: High-Creativity,59180.0,Judgment and Decision Making,3.5
13-1074.00,Farm Labor Contractors,1,Risk: Robotics (Medium-Term),35160.0,Judgment and Decision Making,2.75
13-1075.00,Labor Relations Specialists,3,Insulated: High-Social,62310.0,Judgment and Decision Making,4.0
13-1081.00,Logisticians,3,Insulated: High-Social,74170.0,Judgment and Decision Making,4.0
13-1111.00,Management Analysts,3,Insulated: High-Social,81330.0,Judgment and Decision Making,4.12
13-1121.00,"Meeting, Convention, and Event Planners",0,Insulated: High-Social,47350.0,Judgment and Decision Making,3.38
13-1131.00,Fundraisers,3,Insulated: High-Social,54130.0,Judgment and Decision Making,3.75
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3,Insulated: High-Creativity,62080.0,Judgment and Decision Making,3.75
13-1151.00,Training and Development Specialists,3,Insulated: High-Social,59020.0,Judgment and Decision Making,4.0
13-1161.00,Market Research Analysts and Marketing Specialists,3,Insulated: High-Creativity,62560.0,Judgment and Decision Making,4.12
13-2011.00,Accountants and Auditors,3,Insulated: High-Creativity,68150.0,Judgment and Decision Making,3.62
13-2031.00,Budget Analysts,3,Insulated: High-Creativity,73840.0,Judgment and Decision Making,3.75
13-2041.00,Credit Analysts,3,Risk: Generative AI (Near-Term),69930.0,Judgment and Decision Making,3.75
